[2026-03-05 14:11:21] INFO: 🚀 Server berjalan di http://localhost:3000
[2026-03-05 14:11:21] INFO: 🔒 Helmet + Rate Limiter aktif
[2026-03-05 14:11:21] INFO: 📋 Log tersimpan di: C:\Users\62851\pos-kasir\src\logs
[2026-03-05 14:11:21] INFO: ⚙️  Belum setup? POST ke /api/auth/setup
[2026-03-05 14:12:06] INFO: OPTIONS /api/admin/products 204 — ::1 — 5ms
[2026-03-05 14:12:06] INFO: OPTIONS /api/categories 204 — ::1 — 1ms
[2026-03-05 14:12:06] WARN: GET /api/admin/products 403 — ::1 — 33ms
[2026-03-05 14:12:06] WARN: GET /api/categories 403 — ::1 — 6ms
[2026-03-05 14:12:06] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:12:06] INFO: OPTIONS /api/categories 204 — ::1 — 1ms
[2026-03-05 14:12:06] WARN: GET /api/admin/products 403 — ::1 — 3ms
[2026-03-05 14:12:06] WARN: GET /api/categories 403 — ::1 — 2ms
[2026-03-05 14:12:07] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:12:07] INFO: OPTIONS /api/categories 204 — ::1 — 0ms
[2026-03-05 14:12:07] WARN: GET /api/admin/products 403 — ::1 — 2ms
[2026-03-05 14:12:07] WARN: GET /api/categories 403 — ::1 — 3ms
[2026-03-05 14:12:07] INFO: OPTIONS /api/admin/products 204 — ::1 — 1ms
[2026-03-05 14:12:07] INFO: OPTIONS /api/categories 204 — ::1 — 0ms
[2026-03-05 14:12:07] WARN: GET /api/admin/products 403 — ::1 — 2ms
[2026-03-05 14:12:07] WARN: GET /api/categories 403 — ::1 — 5ms
[2026-03-05 14:12:17] INFO: OPTIONS /api/reports/summary 204 — ::1 — 1ms
[2026-03-05 14:12:17] INFO: OPTIONS /api/reports/daily 204 — ::1 — 0ms
[2026-03-05 14:12:17] INFO: OPTIONS /api/reports/top-products 204 — ::1 — 1ms
[2026-03-05 14:12:17] INFO: OPTIONS /api/reports/by-kasir 204 — ::1 — 1ms
[2026-03-05 14:12:17] INFO: OPTIONS /api/reports/by-hour 204 — ::1 — 0ms
[2026-03-05 14:12:17] WARN: GET /api/reports/summary 403 — ::1 — 3ms
[2026-03-05 14:12:17] WARN: GET /api/reports/daily 403 — ::1 — 2ms
[2026-03-05 14:12:17] WARN: GET /api/reports/top-products 403 — ::1 — 2ms
[2026-03-05 14:12:17] WARN: GET /api/reports/by-kasir 403 — ::1 — 2ms
[2026-03-05 14:12:17] WARN: GET /api/reports/by-hour 403 — ::1 — 2ms
[2026-03-05 14:12:18] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:12:18] WARN: GET /api/admin/products 403 — ::1 — 2ms
[2026-03-05 14:12:18] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:12:18] WARN: GET /api/admin/products 403 — ::1 — 1ms
[2026-03-05 14:12:45] INFO: GET / 304 — ::1 — 1ms
[2026-03-05 14:12:45] WARN: GET /favicon.ico 404 — ::1 — 3ms
[2026-03-05 14:12:58] WARN: GET /api/products 401 — ::1 — 0ms
[2026-03-05 14:13:12] INFO: OPTIONS /api/auth/login 204 — ::1 — 1ms
[2026-03-05 14:13:13] INFO: Login berhasil: admin (admin) {"ip":"::1"}
[2026-03-05 14:13:13] INFO: POST /api/auth/login 200 — ::1 — 326ms
[2026-03-05 14:13:13] INFO: OPTIONS /api/admin/products 204 — ::1 — 1ms
[2026-03-05 14:13:13] INFO: OPTIONS /api/categories 204 — ::1 — 0ms
[2026-03-05 14:13:13] INFO: GET /api/admin/products 200 — ::1 — 12ms
[2026-03-05 14:13:13] INFO: GET /api/categories 200 — ::1 — 18ms
[2026-03-05 14:13:15] INFO: OPTIONS /api/reports/summary 204 — ::1 — 0ms
[2026-03-05 14:13:15] INFO: OPTIONS /api/reports/daily 204 — ::1 — 0ms
[2026-03-05 14:13:15] INFO: OPTIONS /api/reports/top-products 204 — ::1 — 1ms
[2026-03-05 14:13:15] INFO: OPTIONS /api/reports/by-kasir 204 — ::1 — 0ms
[2026-03-05 14:13:15] INFO: OPTIONS /api/reports/by-hour 204 — ::1 — 0ms
[2026-03-05 14:13:15] INFO: GET /api/reports/daily 200 — ::1 — 35ms
[2026-03-05 14:13:15] INFO: GET /api/reports/top-products 200 — ::1 — 48ms
[2026-03-05 14:13:15] INFO: GET /api/reports/by-kasir 200 — ::1 — 47ms
[2026-03-05 14:13:15] INFO: GET /api/reports/by-hour 200 — ::1 — 44ms
[2026-03-05 14:13:15] INFO: GET /api/reports/summary 200 — ::1 — 74ms
[2026-03-05 14:13:16] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:13:16] INFO: GET /api/admin/products 304 — ::1 — 1ms
